GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SwTProject,com.mycompany.swtproject,MovieFilereader,17,160,4,20,3,43,4,11,0,3
SwTProject,com.mycompany.swtproject,Application,0,78,0,4,0,18,0,4,0,2
SwTProject,com.mycompany.swtproject,Movie,0,36,0,0,0,16,0,8,0,8
SwTProject,com.mycompany.swtproject,UserValidator,2,230,2,46,1,55,2,28,0,6
SwTProject,com.mycompany.swtproject,Recommender,0,201,0,20,0,37,0,16,0,6
SwTProject,com.mycompany.swtproject,SwTProject,37,0,0,0,11,0,2,0,2,0
SwTProject,com.mycompany.swtproject,MovieValidator,2,179,1,27,1,43,1,19,0,6
SwTProject,com.mycompany.swtproject,User,0,36,0,0,0,16,0,8,0,8
SwTProject,com.mycompany.swtproject,OutputFileWriter,15,86,0,4,9,25,1,7,1,5
SwTProject,com.mycompany.swtproject,UserFilereader,17,95,4,10,3,24,4,5,0,2
